topic,likes,comments,reposts
Beauty小姐,8885,1770,1344
腾讯极光盒子,47739,1028,342
腾讯极光盒子 小盒子大能量,99,82,18
腾讯极光盒子3pro,13,16,3
腾讯极光看综艺,819,137,81
我们的歌,133001,7867,16143
腾讯极光盒子,47739,1028,342
腾讯极光有问必答,21,18,6
腾讯极光刷热剧,383,142,32
南拳之英雄崛起,33,28,5
腾讯极光投影,117,129,249
腾讯极光盒子 小盒子大能量,99,82,18
腾讯极光盒子3c,34,32,4
腾讯极光投影 专属自己的放映厅,59,32,15
腾讯极光投影T1,17,10,4
腾讯极光盒子 小盒子大能量,99,82,18
腾讯极光盒子,47739,1028,342
腾讯极光盒子 小盒子大能量,99,82,18
腾讯极光盒子,47739,1028,342
腾讯极光看综艺,819,137,81
故事里的中国,4316,738,1867
峰米极光影院4K MAX,3,2,1
腾讯极光有问必答,21,18,6
腾讯极光刷热剧,383,142,32
小风暴之时间的玫瑰,56777,8408,7114
腾讯极光盒子,47739,1028,342
QQ会员理所当燃,5,4,1
we want you,4,0,0
再见2020,20255,3079,6367
2020你学会了什么,87,108,2176
课堂保洁日记,6,8,1
腾讯课堂小剧场,10,7,3
2021年第一条微博,87,31,56
腾讯课堂就业砖车校园行,4,3,0
每个坚守正义的人都是英雄,5601,5773,12252
罗永浩双12硬核发布就业敲门砖,302,39,1278
鹅话你知·帐号安全,835,337,45
王者荣耀,6027,2133,681
鹅话你知,1285,1307,10533
鹅话你知,1285,1307,10533
鹅话你知,1285,1307,10533
鹅问你答,640,140,7
鹅话你知·帐号安全,835,337,45
鹅话你知·帐号安全,835,337,45
鹅话你知·帐号安全,835,337,45
每个坚守正义的人都是英雄,5601,5773,12252
微信用一用,18,31,2
鹅话你知,1285,1307,10533
东西遗失在出租车上怎么找回,212,209,10471
鹅话你知·支付安全,212,209,10471
我的小确幸开播,3130,1615,661
丛容温少卿衣柜抱,506,268,110
我的小确幸开播,3130,1615,661
网剧我的小确幸,12395,4819,1922
天时·戊戌志,369,82,71
完美星球,2071,548,560
网剧我的小确幸,12395,4819,1922
我的小确幸开播,3130,1615,661
电视剧山海情,2208,547,413
电影武动乾坤,469,116,198
武动乾坤,483,118,202
有翡剧照,19493,1898,1412
电视剧有翡,393458,54881,81801
侯明昊古装造型,2288,483,727
我就是这般女子侯明昊特辑,2288,483,727
网剧我的小确幸,12395,4819,1922
超级影视vip,5524,3968,8649
我的小确幸开播,3130,1615,661
网剧我的小确幸,12395,4819,1922
超级影视vip,5524,3968,8649
我的小确幸开播,3130,1615,661
电视剧山海情,2208,547,413
电视剧山海情,2208,547,413
山海情的演员像从土里长出来,54,19,1
黄轩蒙奇奇同款发型,26,11,1
电视剧你是我的荣耀,206325,6091,6722
你是我的荣耀杀青,175354,8547,8965
完美星球,2071,548,560
神奇动物在这里,547,117,12
恰好是少年录制路透,19305,1452,2691
天赐的声音宣传片,5304,249,152
来腾讯视频看天赐的声音,14625,866,340
我就是这般女子,15884,1971,1631
超级影视vip,5524,3968,8649
完美星球,2071,548,560
网剧我的小确幸,12395,4819,1922
我就是这般女子,15884,1971,1631
我就是这般女子关晓彤特辑,2126,286,220
超级影视vip,5524,3968,8649
世界上最动听的你,601,94,39
山海情开播,348,95,55
电视剧山海情,2208,547,413
超级影视vip,5524,3968,8649
电视剧你是我的荣耀,206325,6091,6722
你是我的荣耀杀青,175354,8547,8965
山海情开播,348,95,55
电视剧山海情,2208,547,413
超级影视vip,5524,3968,8649
周翡醉酒看到谢允,2128,430,630
谢允为周翡作诗山花如翡,2664,460,749
谢允给周翡画像,2664,460,749
周翡霸气反撩谢允,4817,1896,1180
周翡给谢允承包灯笼铺,4817,1896,1180
这个世界不看脸,1146,624,233
这个世界不看脸今日开播,1054,605,231
完美星球,2071,548,560
这个世界不看脸,1146,624,233
这个世界不看脸今日开播,1054,605,231
一日之食,4359,1975,268
向着宵夜的方向,4467,2249,283
这个世界不看脸,1146,624,233
这个世界不看脸今日开播,1054,605,231
电影武动乾坤,469,116,198
电影武动乾坤,469,116,198
武动乾坤,483,118,202
饱经风吹的周翡谢允,1013,121,46
锦心似玉剧照,37920,1956,1942
电视剧锦心似玉,64314,3149,2983
天时·戊戌志,369,82,71
世界上最动听的你,601,94,39
邻家诗话,1148,335,248
电视剧风声,6018,1133,546
有翡剧照,19493,1898,1412
电视剧有翡,393458,54881,81801
网剧我的小确幸,12395,4819,1922
超级影视vip,5524,3968,8649
网剧我的小确幸,12395,4819,1922
彩砂坛城,51,8,9
后藏非遗,51,8,9
电视剧锦心似玉,64314,3149,2983
锦心似玉剧照,37920,1956,1942
我就是这般女子定档,9222,1002,628
我就是这般女子,15884,1971,1631
超级影视vip,5524,3968,8649
丰声,932,147,67
尹国华,932,147,67
电影长安伏妖,8350,648,1865
电视剧江山如此多娇,400,95,67
少爷与我的罗曼史,12036,1750,674
我就是这般女子定档,9222,1002,628
侯明昊要要发预告,1925,250,306
完美星球,2071,548,560
电视剧美人图鉴,677,200,99
美人图鉴,731,225,109
电视剧风声,6018,1133,546
网剧我的小确幸,12395,4819,1922
我就是这般女子定档,9222,1002,628
关晓彤关方定档,6365,605,255
超级影视vip,5524,3968,8649
薇娅 独立不是什么事都要自己做,175,138,149
双向镜,175,138,149
王一博推云掌打戏受伤,12783,1782,3796
小风暴之时间的玫瑰,56777,8408,7114
我就是演员,71711,4234,2742
我就是演员,71711,4234,2742
我就是演员,71711,4234,2742
山海情定档0112,712,208,143
电视剧山海情,2208,547,413
超级影视vip,5524,3968,8649
电视剧风声,6018,1133,546
风声大结局,68,14,2
超级影视vip,5524,3968,8649
电视剧风声,6018,1133,546
电视机乔家的儿女,2694,315,161
世界上最动听的你定档,340,62,23
世界上最动听的你,601,94,39
超级影视vip,5524,3968,8649
向着宵夜的方向,4467,2249,283
一日之食,4359,1975,268
完美星球,2071,548,560
求张靓颖刘宇宁别唱无华了,8053,722,1362
五哈和他们的朋友,35610,1106,657
创造营,186418,10937,7125
海星鹅宝藏屋,48937,2403,324
罗云熙卡丁车造型,9188,1416,838
魔熙先生,81295,12935,8993
电影武动乾坤,469,116,198
武动乾坤,483,118,202
杨超越白昼星空婚纱造型,4,1,0
最强大脑,803,190,30
超级影视vip,5524,3968,8649
最强大脑,803,190,30
超级影视vip,5524,3968,8649
乡村战疫记,44,8,1
电影武动乾坤,469,116,198
电影武动乾坤,469,116,198
武动乾坤,483,118,202
一日之食,4359,1975,268
向着宵夜的方向,4467,2249,283
世界上最动听的你,601,94,39
我就是演员,71711,4234,2742
有翡剧照,19493,1898,1412
电视剧有翡,393458,54881,81801
向着宵夜的方向,4467,2249,283
电视剧风声,6018,1133,546
李宁玉知识改变命运,5,1,1
文咏珊演技,284,63,55
电视剧乔家的儿女,1475,226,79
乔家的儿女杀青,733,117,44
电影武动乾坤,469,116,198
武动乾坤,483,118,202
寻龙秘境,86,22,291
2020年的北漂,372,72,49
凶险与悬疑：侦探故事,0,0,0
罗云熙卡丁车造型,9188,1416,838
罗云熙被尖叫鸡支配,5616,909,514
魔熙先生,81295,12935,8993
来腾讯视频和罗云熙一起探索魔熙世界,60995,9863,7224
幸福三重奏,1831,345,306
电视剧美人图鉴,677,200,99
超级影视vip,5524,3968,8649
网剧我的小确幸,12395,4819,1922
少爷与我的罗曼史,12036,1750,674
小风暴大结局,2840,455,403
小风暴之时间的玫瑰,56777,8408,7114
网剧我的小确幸,12395,4819,1922
超级影视vip,5524,3968,8649
小确幸欲告片,1863,825,315
网剧我的小确幸,12395,4819,1922
超级影视vip,5524,3968,8649
小确幸欲告片,1863,825,315
山海情定档0112,712,208,143
电视剧山海情,2208,547,413
电视剧山海情,2208,547,413
向着宵夜的方向,4467,2249,283
一日之食,4359,1975,268
小女孩说朱迅像安娜公主,247,51,13
你好生活,6613,870,691
天时·戊戌志,369,82,71
2020年的北漂,372,72,49
电影2哥来了怎么办,391,115,44
胡先煦问遍好友2哥来了怎么办,382,108,41
魔熙先生,81295,12935,8993
来腾讯视频和罗云熙一起探索魔熙世界,60995,9863,7224
一日之食,4359,1975,268
向着宵夜的方向,4467,2249,283
向着宵夜的方向,4467,2249,283
一日之食,4359,1975,268
寻龙秘境,86,22,291
宝塔镇河妖,40,13,3
电影长安伏妖,8350,648,1865
电视剧风声,6018,1133,546
铁锅爱炖糖葫芦,5658,1207,649
百岁之好大结局,229,42,14
百岁之好高光瞬间,258,52,17
天时·戊戌志,369,82,71
创造营,186418,10937,7125
海星鹅宝藏屋,48937,2403,324
有翡,817467,112220,159223
胖鹅快砸我,750,928,822
烙色x有翡官方联名彩妆,786,962,1222
心的转换杀青,2924,305,1121
何洛洛新戏杀青,2942,305,1121
创造营,186418,10937,7125
海星鹅前线速报,15111,951,568
徐艺洋首张EP会不会再见,4650,800,193
宫崎骏80岁了,45,16,13
电影崖上的波妞,361,245,398
一日之食,4359,1975,268
向着宵夜的方向,4467,2249,283
电影长安伏妖,8350,648,1865
你是讨好型人格么,6579,410,376
听见她说收官,7485,507,416
我的小确幸定档,2250,919,372
超级影视vip,5524,3968,8649
网剧我的小确幸,12395,4819,1922
网剧我的小确幸,12395,4819,1922
超级影视vip,5524,3968,8649
我的小确幸定档,2250,919,372
向着宵夜的方向,4467,2249,283
一日之食,4359,1975,268
令人心动的offer,103410,8021,9476
一日之食,4359,1975,268
向着宵夜的方向,4467,2249,283
电影长安伏妖,8350,648,1865
完美星球,2071,548,560
幸福三重奏,1831,345,306
超级影视vip,5524,3968,8649
幸福三重奏收官,93,14,3
有翡剧照,19493,1898,1412
电视剧有翡,393458,54881,81801
泰版王子变青蛙,1201,303,424
超级影视vip,5524,3968,8649
扫黑风暴杀青,14393,1712,5423
扫黑风暴剧照,667,138,1524
扫黑风暴杀青,14393,1712,5423
扫黑风暴剧照,667,138,1524
扫黑风暴杀青,14393,1712,5423
扫黑风暴剧照,667,138,1524
扫黑风暴杀青,14393,1712,5423
电视剧扫黑风暴,13726,1574,3899
电影除暴,130,19,15
创造营,186418,10937,7125
创造营slogan,34102,1665,2311
电视剧风声,6018,1133,546
允翡情侣装,3459,959,262
电视剧有翡,393458,54881,81801
电影除暴,130,19,15
平行时空遇见你,140743,12630,7405
电视剧风声,6018,1133,546
奔跑吧,27955,2517,541
允翡按头抱甜蜜走位,2586,197,199
杨幂完美女孩AI预告,2665,297,229
杨幂独白被商品化感受,2669,297,229
鹅斯卡,4376,693,1452
昆仑神宫,1186,366,312
电视剧骨语,146,63,11
骨语2,146,63,11
绝对忠诚之国家利益,431,48,12
绝对忠诚之国家利益0101上线,50,3,1
电视剧张公案,2208,223,140
原来你是这样的顾先生,128,21,15
乌鸦小姐与蜥蜴先生,4612,13504,1306
雁归西窗月,925,161,51
良言写意,46847,3148,1572
电视剧埃博拉前线,74,13,5
程序员那么可爱,4624,819,272
2021凯叔魔幻童话之夜,35,15,37
沐浴之王首播,1939,184,17571
电视剧乔家的儿女,1475,226,79
程序员那么可爱,4624,819,272
向着宵夜的方向,4467,2249,283
王一博区分自己和谢允的方法,23709,2450,8170
王一博说谢允最吸引人的是想得开,23709,2450,8170
周翡把谢允锁死,9835,1454,1110
电视剧有翡,393458,54881,81801
周翡得知谢允中毒,5679,628,950
好心疼谢允,5909,660,967
鹅厂纪录片片单,35,15,4
电影沐浴之王,539,204,195
跨年晚会,15535,952,398
跨年演唱会,126788,6292,7541
完美星球,2071,548,560
董子健重庆话台词,72,33,34
刺杀小说家希望版预告,1,2,0
胖鹅宠粉季,5393,7684,9194
平行时空遇见你,140743,12630,7405
哈哈哈哈哈,302981,11616,16088
哈哈哈哈哈,302981,11616,16088
哈哈哈哈哈,302981,11616,16088
哈哈哈哈哈,302981,11616,16088
绝对忠诚之国家利益终极版预告,40,1,1
电视剧有翡,393458,54881,81801
超级影视vip,5524,3968,8649
小风暴之时间的玫瑰,56777,8408,7114
小风暴大结局,2840,455,403
电视剧风声,6018,1133,546
电视剧山海情,2208,547,413
跨年演唱会,126788,6292,7541
江苏卫视跨年彩排,220975,16806,22635
周深江苏跨年带熊彩排,19415,1178,4574
湖南卫视跨年倒计时宣传片,38789,4756,9647
湖南卫视跨年,683075,65688,94058
少爷与我的罗曼史,12036,1750,674
苏小晚史上最沙雕女主,49,38,11
平行时空遇见你,140743,12630,7405
破晓2021,355,78,17
丁真跨年想看海,154,22,9
上腾讯视频看NBA,17311,1847,63486
詹姆斯36岁生日快乐,181,41,18
姚琛暗黑工业风MV,4929,1370,676
姚琛新歌MV,4700,1330,663
姚琛新歌MV,4700,1330,663
完美星球,2071,548,560
完美星球,2071,548,560
一日之食,4359,1975,268
向着宵夜的方向,4467,2249,283
电视剧风声,6018,1133,546
吾家阿翡初长成,1032,122,47
电视剧有翡,393458,54881,81801
今夕何夕,6660,1165,811
泰版王子变青蛙,1201,303,424
超级影视vip,5524,3968,8649
2020鹅剧回顾,89805,2571,15741
美人图鉴开播,159,45,17
电视剧美人图鉴,677,200,99
美人图鉴,731,225,109
超级影视vip,5524,3968,8649
向着宵夜的方向,4467,2249,283
一日之食,4359,1975,268
绝对忠诚之国家利益,431,48,12
绝对忠诚之国家利益0101上线,50,3,1
一张照片告别2020,3018,644,959
跨年演唱会,126788,6292,7541
百岁之好一言为定,22520,3223,2108
情侣在一起最好的相处方式,161,14,10
江苏卫视跨年,1142321,86374,95913
浙江卫视跨年,1061867,28769,97159
天时·戊戌志,369,82,71
有翡剧照,19493,1898,1412
电视剧有翡,393458,54881,81801
一日之食,4359,1975,268
向着宵夜的方向,4467,2249,283
完美星球,2071,548,560
WWE,103,61,60
看WWE上腾讯视频,103,61,60
电视剧《美人图鉴》,17,6,7
大江大河2,24623,6502,7783
超级影视vip,5524,3968,8649
向着宵夜的方向,4467,2249,283
一日之食,4359,1975,268
你好生活中英文预告好震撼,69,4,11
你好生活,6613,870,691
扫黑决战预告,8,1,0
金世佳黑化,8,1,0
一日之食,4359,1975,268
向着宵夜的方向,4467,2249,283
电视剧有翡,393458,54881,81801
天时·戊戌志,369,82,71
医者,58,17,1
电视剧雪中悍刀行,601,154,104
雪中悍刀行阵容剧照,600,152,104
电视剧雪中悍刀行,601,154,104
雪中悍刀行阵容剧照,600,152,104
电视剧雪中悍刀行,601,154,104
雪中悍刀行阵容剧照,600,152,104
电视剧美人图鉴,677,200,99
赵丽颖周翡特辑,5393,1314,521
赵丽颖说周翡是少说多做,5393,1314,521
百岁超前点播大结局,2444,79,31
蒋正寒夏林希太甜了,2444,79,31
百岁之好一言为定,22520,3223,2108
超级影视vip,5524,3968,8649
少爷与我的罗曼史,12036,1750,674
电影迷罪追凶,42,11,29
电影夺命巨鳄,182,47,9
电影夺命巨鳄,182,47,9
电视剧风声,6018,1133,546
谢允为周翡梳头,4945,561,273
Tony允今日营业,2908,416,180
少爷与我的罗曼史沙雕甜,680,129,94
顾子谦女装大佬,378,84,78
昆仑神宫,1186,366,312
绝对忠诚之国家利益,431,48,12
鹅斯卡,4376,693,1452
晴雅集,15857,3561,4792
赵又廷说邓伦的腹肌要用心看,887,58,105
赵又廷邓伦强迫症对齐海报,1504,187,467
电视剧风声,6018,1133,546
脱口秀反跨年,61425,17022,5870
脱口秀搞跨年有点意思,13041,1940,1559
脱口秀反跨年先跨为敬,8800,1360,1001
脱口秀反跨年,61425,17022,5870
脱口秀搞跨年有点意思,13041,1940,1559
脱口秀反跨年先跨为敬,8800,1360,1001
脱口秀反跨年,61425,17022,5870
脱口秀搞跨年有点意思,13041,1940,1559
脱口秀反跨年先跨为敬,8800,1360,1001
脱口秀反跨年,61425,17022,5870
脱口秀搞跨年有点意思,13041,1940,1559
脱口秀反跨年先跨为敬,8800,1360,1001
向着宵夜的方向,4467,2249,283
鹅东尼,126,47,14
2020鹅家观影报告,126,47,14
五哈和他们的朋友,35610,1106,657
脱口秀反跨年,61425,17022,5870
脱口秀搞跨年有点意思,13041,1940,1559
脱口秀反跨年先跨为敬,8800,1360,1001
脱口秀反跨年,61425,17022,5870
电影武动乾坤,469,116,198
武动乾坤,483,118,202
电视剧我的漂亮朋友,60,12,2
鹅斯卡,4376,693,1452
电影拆弹专家2,394,117,293
刘德华,943,350,652
乌云遇皎月,9204,622,234
一日之食,4359,1975,268
向着宵夜的方向,4467,2249,283
黄子韬徐艺洋石玺彤合体发歌,9385,791,382
有翡插曲熹微MV,13176,1921,3681
王一博熹微,78173,9097,27383
大江大河2,24623,6502,7783
超级影视vip,5524,3968,8649
小风暴之时间的玫瑰,56777,8408,7114
电影夺命巨鳄,182,47,9
电影夺命巨鳄,182,47,9
电影长安伏妖,8350,648,1865
郝蕾听见她说预告,84,20,19
郝蕾演家暴题材,84,20,19
那小子不可爱,388,380,16
电视剧风声,6018,1133,546
超级影视vip,5524,3968,8649
大秦赋,2079,3380,290
脱口秀反跨年,61425,17022,5870
脱口秀反跨年糟心事见证人,9523,402,216
幸福三重奏,1831,345,306
凶险与悬疑之侦探故事,88,14,24
脱口秀反跨年,61425,17022,5870
圣诞节,36298,12831,17560
拆弹专家2,1728,474,875
幸福三重奏,1831,345,306
一起安利小风暴,126,14,7
小风暴高能瞬间,126,14,7
电视剧风声,6018,1133,546
超级影视vip,5524,3968,8649
风声开播,1615,328,206
电视剧风声,6018,1133,546
风声开播,1615,328,206
昆仑神宫,1186,366,312
电影夺命巨鳄,182,47,9
电影夺命巨鳄,182,47,9
小风暴之时间的玫瑰,56777,8408,7114
少爷与我的罗曼史,12036,1750,674
大江大河2,24623,6502,7783
超级影视vip,5524,3968,8649
昆仑神宫,1186,366,312
超级影视VIP相馆,4882,7567,15603
天真蓝超越圣诞照,4644,6978,14551
超级影视VIP相馆,4882,7567,15603
超级影视VIP相馆,4882,7567,15603
天时·戊戌志,369,82,71
一日之食,4359,1975,268
向着宵夜的方向,4467,2249,283
小风暴之时间的玫瑰,56777,8408,7114
脱口秀反跨年阵容砸蛋官宣,22319,3042,2439
张颜齐用奥特曼当门神,3201,636,2060
极光TV,62,17,8
超级影视vip,5524,3968,8649
脱口秀反跨年阵容砸蛋官宣,22319,3042,2439
脱口秀反跨年,61425,17022,5870
小风暴之时间的玫瑰,56777,8408,7114
脱口秀反跨年阵容砸蛋官宣,22319,3042,2439
脱口秀反跨年,61425,17022,5870
脱口秀反跨年阵容砸蛋官宣,22319,3042,2439
脱口秀反跨年,61425,17022,5870
2020年的北漂,372,72,49
超级影视vip,5524,3968,8649
脱口秀反跨年阵容砸蛋官宣,22319,3042,2439
脱口秀反跨年,61425,17022,5870
脱口秀反跨年阵容砸蛋官宣,22319,3042,2439
脱口秀反跨年,61425,17022,5870
脱口秀反跨年阵容砸蛋官宣,22319,3042,2439
脱口秀反跨年,61425,17022,5870
脱口秀反跨年阵容砸蛋官宣,22319,3042,2439
脱口秀反跨年,61425,17022,5870
脱口秀反跨年阵容砸蛋官宣,22319,3042,2439
毛不易加盟脱口秀反跨年,4582,1755,1320
脱口秀反跨年,61425,17022,5870
脱口秀反跨年阵容砸蛋官宣,22319,3042,2439
脱口秀反跨年,61425,17022,5870
大国担当之埃博拉前线,3551,456,229
大国担当开机,3551,456,229
爱很美味预告,400,92,130
爱很美味海报,400,92,130
一日之食,4359,1975,268
向着宵夜的方向,4467,2249,283
圣诞节,36298,12831,17560
超级影视VIP相馆,4882,7567,15603
天真蓝超越圣诞照,4644,6978,14551
超级影视VIP,4882,7567,15603
一日之食,4359,1975,268
向着宵夜的方向,4467,2249,283
少爷与我的罗曼史预告,1842,221,94
虞书欣少爷与我的罗曼史预告,1358,154,66
少爷与我的罗曼史预告,1842,221,94
虞书欣少爷与我的罗曼史预告,1358,154,66
电视剧有翡,393458,54881,81801
完美星球,2071,548,560
电影夺命巨鳄,182,47,9
脱口秀反跨年首波阵容,1106,201,30
脱口秀反跨年,61425,17022,5870
反跨年嘉宾KO糟心蛋,1164,218,31
脱口秀反跨年首波阵容,1106,201,30
李诚儒钟美美加盟脱口秀反跨年,107,25,1
反跨年嘉宾KO糟心蛋,1164,218,31
上腾讯视频看NBA,17311,1847,63486
脱口秀反跨年首波阵容,1106,201,30
脱口秀反跨年,61425,17022,5870
反跨年嘉宾KO糟心蛋,1164,218,31
脱口秀反跨年首波阵容,1106,201,30
脱口秀反跨年,61425,17022,5870
反跨年嘉宾KO糟心蛋,1164,218,31
脱口秀反跨年首波阵容,1106,201,30
脱口秀反跨年,61425,17022,5870
反跨年嘉宾KO糟心蛋,1164,218,31
末世觉醒之溯源,112,29,8
向着宵夜的方向,4467,2249,283
一日之食,4359,1975,268
百岁之好一言为定,22520,3223,2108
电视剧有翡,393458,54881,81801
极光TV,62,17,8
超级影视vip,5524,3968,8649
超级影视VIP相馆,4882,7567,15603
程序员那么可爱,4624,819,272
冬至,15778,5214,8558
冬至,15778,5214,8558
超级影视VIP相馆,4882,7567,15603
天真蓝超越圣诞照,4644,6978,14551
超级影视VIP相馆,4882,7567,15603
超级影视vip,5524,3968,8649
平行时空遇见你,140743,12630,7405
一日之食,4359,1975,268
向着宵夜的方向,4467,2249,283
东北风云,17,16,1
狄仁杰之焚天异火,3501,345,2090
电视剧说英雄谁是英雄,158783,3398,9582
脱口秀反跨年,61425,17022,5870
脱口秀反跨年态度宣传片,348,60,16
拆弹专家2,1728,474,875
天时·戊戌志,369,82,71
2020年的北漂,372,72,49
脱口秀反跨年,61425,17022,5870
上腾讯视频看NBA,17311,1847,63486
腾讯视频星光大赏,17899286,285614,847256
大江大河2,24623,6502,7783
少爷与我的罗曼史定档,5501,347,127
少爷与我的罗曼史,12036,1750,674
腾讯视频星光大赏,17899286,285614,847256
CCTV国家宝藏,1095,172,66
平行时空遇见你,140743,12630,7405
腾讯视频星光大赏,17899286,285614,847256
平行时空遇见你,140743,12630,7405
平行时空遇见你定档,1603,184,35
腾讯视频星光日,2278495,64492,57049
2020doki人气舞台,352337,15418,12498
腾讯视频星光日,2278495,64492,57049
2020doki人气舞台,352337,15418,12498
向着宵夜的方向,4467,2249,283
一日之食,4359,1975,268
圣诞节,36298,12831,17560
超级影视vip,5524,3968,8649
斗罗女团出道曲,115,17,14
斗罗大陆女团,115,17,14
鹅次元演唱会,45569,5332,5968
段奥娟落雪为期首唱,1347,221,164
段奥娟全开麦绝了,1758,282,194
鹅次元演唱会,45569,5332,5968
张含韵汉服造型,4376,797,97
张含韵古风舞台,4376,797,97
鹅次元演唱会,45569,5332,5968
奔跑吧黄河篇,6327,531,150
奔跑吧黄河篇,6327,531,150
腾讯视频星光大赏,17899286,285614,847256
星光大赏名场面,2669615,17779,59575
腾讯视频星光大赏,17899286,285614,847256
星光大赏阵容,5472858,51953,150997
紧急救援,1213,482,1028
大江大河2,24623,6502,7783
大江大河2今日开播,296,113,168
林栋甫,224,87,58
苏小明,224,87,58
我就是演员,71711,4234,2742
2020kpl秋季赛,10,13,0
谢允小表情,5209,1099,662
杨洋u1s1,13612,2613,6680
杨洋瞎编你是我的荣耀主题曲,13612,2613,6680
腾讯视频星光日,2278495,64492,57049
2020doki人气舞台,352337,15418,12498
管栎MV满身唇印,1634,486,385
管栎一键变装MV,1634,486,385
鹅家有新片,2480,535,1930
电影武动乾坤,469,116,198
武动乾坤【超话】,42,19,141
换脸是彭昱畅自己演的,1836,72,15239
沐浴之王正片片段,1900,91,15242
鹅娘年度指数,43583,4775,705
星光大赏彩排花絮,35366,2639,1114
oner彩排,5551,547,526
星光大赏彩排花絮,35366,2639,1114
水果星球彩排,1435,201,23
东北风云,17,16,1
星光大赏彩排花絮,35366,2639,1114
气运联盟彩排,28380,1891,565
星光大赏彩排花絮,35366,2639,1114
气运联盟彩排,28380,1891,565
鹅娘年度指数,43583,4775,705
电视剧有翡,393458,54881,81801
胖鹅宠粉季,5393,7684,9194
超级影视vip,5524,3968,8649
杨紫唐装演绎文成公主,386,163,43
郭麒麟国家宝藏,127,25,8
CCTV国家宝藏,1095,172,66
平行时空遇见你,140743,12630,7405
鹅娘年度指数,43583,4775,705
有翡人物关系剧照,570,153,24
电视剧有翡,393458,54881,81801
电视剧有翡,393458,54881,81801
大江大河2定档1220,1296,542,233
大江大河2,24623,6502,7783
超级影视vip,5524,3968,8649
哈哈哈哈哈,302981,11616,16088
超级影视vip,5524,3968,8649
一日之食,4359,1975,268
向着宵夜的方向,4467,2249,283
小风暴之时间的玫瑰,56777,8408,7114
乔欣我的脑子败给了眼睛,252,23,5
邻家诗话,1148,335,248
末世觉醒之溯源定档,48,9,0
杨紫星光大赏采访,17503,3999,2654
杨紫错说酒醉的蝴蝶,17503,3999,2654
神奇女侠1984,187,288,426
胖鹅快砸我,750,928,822
小风暴之时间的玫瑰,56777,8408,7114
平行时空遇见你预告,2964,220,95
李诞 李雪琴原本就喜欢王建国,0,0,0
幸福三重奏,1831,345,306
令人震惊的真实侦探案件,5,8,1
凶险与悬疑 侦探故事,1,6,0
大偃术师,20,16,5
周翡男友力,678,88,18
大江大河2,24623,6502,7783
大江大河2定档1220,1296,542,233
林栋甫,224,87,58
苏小明,224,87,58
大江大河2定档1220,1296,542,233
大江大河2,24623,6502,7783
超级影视vip,5524,3968,8649
电影扫黑决战定档,8,12,0
大江大河2定档1220,1296,542,233
林栋甫,224,87,58
苏小明,224,87,58
大江大河2,24623,6502,7783
超级影视vip,5524,3968,8649
电视剧黑白禁区,795,222,112
超级影视vip,5524,3968,8649
电视剧乔家的儿女,1475,226,79
今夕何夕,6660,1165,811
魔熙先生定档,3892,668,328
魔熙先生,81295,12935,8993
来腾讯视频和罗云熙一起探索魔熙世界,60995,9863,7224
向着宵夜的方向,4467,2249,283
一日之食,4359,1975,268
十三邀,30,22,6
十三邀第五季,17,19,4
月半爱丽丝,554,105,89
拆弹专家2,1728,474,875
胖鹅快砸我,750,928,822
一日之食,4359,1975,268
向着宵夜的方向,4467,2249,283
电视剧黑白禁区,795,222,112
黑白禁区开播,88,40,17
小风暴之时间的玫瑰,56777,8408,7114
电视剧黑白禁区,795,222,112
黑白禁区开播,88,40,17
大江大河2,24623,6502,7783
周深大江大河2主题曲,66,15,8
超异之荒漠地球,2,5,0
紧急救援新预告,16,10,7
紧急救援1218,26,15,8
小风暴之时间的玫瑰,56777,8408,7114
超级影视vip,5524,3968,8649
电视剧黑白禁区,795,222,112
超级影视vip,5524,3968,8649
电视剧你是我的荣耀,206325,6091,6722
你是我的荣耀剧照,41577,940,871
周翡谢允初遇,1671,428,204
电视剧有翡,393458,54881,81801
有翡开播,16624,3567,2904
有翡全员逐浪海报,2605,554,286
电视剧你是我的荣耀,206325,6091,6722
你是我的荣耀剧照,41577,940,871
向着宵夜的方向,4467,2249,283
邻家诗话,1148,335,248
黑龙江,227,412,51
窦靖童线上音乐会,133,60,0
有翡定档,127065,15581,24972
有翡定档,127065,15581,24972
有翡定档,127065,15581,24972
有翡定档,127065,15581,24972
有翡定档,127065,15581,24972
有翡定档,127065,15581,24972
有翡窥见天光预告,12484,1963,1889
平行时空遇见你,140743,12630,7405
当rap遇上秦始皇,60,28,6
转发这个明道,27,22,4
平行时空遇见你,140743,12630,7405
误入有翡花絮,5632,1528,1197
电视剧有翡,393458,54881,81801
国子监来了个女弟子杀青,2658,475,40
段奥娟被鹅追,421,129,67
电影晴雅集,9081,2181,2908
胖鹅快砸我,750,928,822
一日之食,4359,1975,268
向着宵夜的方向,4467,2249,283
乃万新歌Battery,98,38,10
乃万新歌BatteryMV,98,38,10
狄仁杰之焚天异火,3501,345,2090
百岁之好一言为定,22520,3223,2108
国子监来了个女弟子杀青,2658,475,40
腾讯视频星光日,2278495,64492,57049
2020doki人气舞台,352337,15418,12498
腾讯视频星光日,2278495,64492,57049
2020doki人气舞台,352337,15418,12498
腾讯视频星光日,2278495,64492,57049
2020doki人气舞台,352337,15418,12498
腾讯视频星光日,2278495,64492,57049
2020doki人气舞台,352337,15418,12498
